sample_id,analyst,date,raw_target,raw_action,direction,raw_logic,entity_type_draft,actions_draft,action_status_draft,temporal_type_draft,has_code,multi_target,review_status,review_note,human_confirm
1,老樊,2026-08-28,腾景科技,试错思维对待，控制仓位,买入,谷歌链OCS三剑客，突破买点结构,STOCK,TRIAL,CONDITIONAL,CONDITIONAL,False,False,,,
2,天赢居,2026-08-14,四方股份(601126),试盘仓守8月12日低点支撑,观察,现价试盘，支撑参考8月12日低点,STOCK,TRIAL,INTENDED,UNKNOWN,True,False,,,
3,妖股刺客,2026-08-17,VC板块,分仓试错,观察,赌VC板块加强，创新药超预期,MARKET,TRIAL,INTENDED,UNKNOWN,False,True,,多目标拆分自:VC板块/创新药; ,
4,潘凤,2026-08-17,太辰光,0.5仓试错,买入,半路0.5,STOCK,TRIAL,INTENDED,UNKNOWN,False,False,,,
5,老樊,2026-08-18,长飞光纤,部分减仓止盈，放量突破则小幅加仓,持有,涨价链扩散锚，昨日已涨，中期均线组遇阻回落,STOCK,REDUCE,INTENDED,UNKNOWN,False,False,,,
6,震哥本尊,2026-08-17,天孚通信,已减仓，不追高,减仓,基本在早盘减仓位置，别追高,STOCK,REDUCE,EXECUTED,CURRENT_STATE,False,False,,,
7,天赢居,2026-08-26,赤峰黄金,收回5日均线持股，收不回减持，等13日均线再考虑回补,减仓,600988，早市低开破位5日均线,STOCK,REDUCE,CONDITIONAL,CONDITIONAL,False,False,,,
8,格兰投研,2026-08-17,杰瑞股份,不连板则止盈,减仓,明天如果不能连续涨停就要自己注意止盈一点,STOCK,REDUCE,INTENDED,UNKNOWN,False,False,,,
9,游资混江龙,2026-08-14,药明康德,之前减仓的可以继续跑,减仓,破5日线，估计到阶段性高位,STOCK,REDUCE,EXECUTED,UNKNOWN,False,False,,,
10,清北游资,2026-08-26,融捷股份,73.5左右减一半，另一半74以上出完，本月结束,减仓,拉升至73.5附近,STOCK,REDUCE,INTENDED,UNKNOWN,False,False,,,
11,妖股刺客,2026-08-19,兴业科技,尾盘减仓，兑现修复收益,减仓,昨日加仓后今日尾盘拉红修复，14:54尾盘减仓兑现,STOCK,REDUCE,INTENDED,UNKNOWN,False,False,,,
12,潘凤,2026-08-28,中际旭创,反弹尾声信号，不追高，注意反弹结束,减仓,科技反弹终止的哨子，看到8000亿,STOCK,REDUCE,INTENDED,UNKNOWN,False,False,,,
13,李梦尘,2026-08-17,半导体材料,止盈卖出,卖出,今日强势但已卖,STOCK,REDUCE,INTENDED,UNKNOWN,False,False,,,
14,老樊,2026-08-19,万和电气,模型观察，不追,观察,n式倍量双涨停模型，基本面看点不足，倾向筹码博弈,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
15,老樊,2026-08-28,赛微电子,主题催化弹性大，仓位上控制，小作文难辨真伪,观察,OCS主题催化+小作文：瑞典Silex(45.24%)为谷歌独家代工MEMS-OCS芯片，北京FAB3试产月产能1.5万片,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
16,老樊,2026-08-19,广钢气体,观察，跌到中期均线组下方概率不高,观察,涨价链承压但未放量中大阴线；解禁是利空但非股价核心矛盾,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
17,震哥本尊,2026-08-28,立新能源,位置不够低，先自选观察,观察,可能反复活跃,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
18,震哥本尊,2026-08-28,深中华A,开盘看承接，能博弈,短线,最高板妖股，贵金属回流+投机核心,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
19,震哥本尊,2026-08-27,汉森制药,修复新高观察,观察,医药最高板，昨天炸板今天修复新高,STOCK,WATCH,INTENDED,UNKNOWN,False,False,,,
