priority,sample_id,analyst,date,raw_target,raw_action,raw_logic,draft_action,parser_action,draft_status,parser_status,draft_temporal,parser_temporal,arbiter_result,final_action,final_status,final_temporal,exclude_from_core_benchmark,review_note
P1_ACTION_OPPOSITE,7,天赢居,2026-08-26,赤峰黄金,收回5日均线持股，收不回减持，等13日均线再考虑回补,600988，早市低开破位5日均线,REDUCE,HOLD,CONDITIONAL,POSITION_STATE,CONDITIONAL,CONDITIONAL,BOTH_WRONG,HOLD,POSITION_STATE,CONDITIONAL,,"多动作: HOLD|REDUCE(COND)|ADD(COND); '收不回减持'等13日线回补。parser仅抓HOLD(缺口A), draft仅抓REDUCE"
P1_ACTION_OPPOSITE,12,潘凤,2026-08-28,中际旭创,反弹尾声信号，不追高，注意反弹结束,科技反弹终止的哨子，看到8000亿,REDUCE,WATCH,INTENDED,INTENDED,UNKNOWN,UNKNOWN,PARSER_CORRECT,WATCH,INTENDED,TODAY,,"'不追高'+反弹尾声警告→无买入, WATCH。draft REDUCE 误判"
P1_ACTION_OPPOSITE,27,游资混江龙,2026-08-26,中石科技,持续跟踪反复做,科技，反复炒的票,WATCH,DO_T,INTENDED,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,DO_T,INTENDED,TODAY,,'持续跟踪反复做'=做T。draft WATCH 误判
P1_ACTION_OPPOSITE,29,清北游资,2026-08-18,宇树科技相关,操作谨慎，今日兑现为主,明日上市，今日资金兑现,WATCH,SELL,INTENDED,EXECUTED,TODAY,TODAY,BOTH_WRONG,SELL,INTENDED,TODAY,,"'今日兑现为主'=操作倾向→INTENDED(协议10,缺口D); draft动作错(WATCH), parser状态错(EXECUTED)"
P1_ACTION_OPPOSITE,57,李梦尘,2026-08-28,折叠屏,打地鼠模式，电源偏恶心，剩余子弹不动,组合持仓,HOLD,DO_T,POSITION_STATE,INTENDED,UNKNOWN,CURRENT_STATE,AMBIGUOUS,,,,true,"组合层'打地鼠模式…剩余子弹不动',无法下沉到单只股票(折叠屏=题材)"
P1_ACTION_OPPOSITE,58,李梦尘,2026-08-28,冷液,打地鼠模式，电源偏恶心，剩余子弹不动,组合持仓,HOLD,DO_T,POSITION_STATE,INTENDED,UNKNOWN,CURRENT_STATE,AMBIGUOUS,,,,true,"组合层'打地鼠模式…剩余子弹不动',无法下沉到单只股票(冷液=题材)"
P1_ACTION_OPPOSITE,59,一线天渔哥,2026-08-28,西点药业,滚动操作，涨多减/5日线之上加,跟踪标的,HOLD,DO_T,POSITION_STATE,INTENDED,UNKNOWN,TODAY,BOTH_WRONG,DO_T,INTENDED,CONDITIONAL,,"多动作: DO_T|REDUCE(COND)|ADD(COND); '涨多减/5日线之上加'条件。parser仅DO_T(缺口A), draft仅HOLD"
P1_ACTION_OPPOSITE,60,一线天渔哥,2026-08-28,湖南白银,滚动操作,跟踪标的,HOLD,DO_T,POSITION_STATE,INTENDED,UNKNOWN,TODAY,PARSER_CORRECT,DO_T,INTENDED,TODAY,,'滚动操作'=DO_T。draft HOLD 误判
P1_ACTION_OPPOSITE,65,游资混江龙,2026-08-18,华勤技术,控制好仓位持有,科技核心人气股，一成仓低吸,LOW_BUY,HOLD,INTENDED,POSITION_STATE,UNKNOWN,CURRENT_STATE,PARSER_CORRECT,HOLD,POSITION_STATE,CURRENT_STATE,,'控制好仓位持有'→HOLD; draft把logic'一成仓低吸'混入动作
P1_ACTION_OPPOSITE,74,妖股刺客,2026-08-27,协鑫能科,冲涨停出局/接回,冲涨停出局，接回002015,ADD,SELL,INTENDED,EXECUTED,UNKNOWN,TODAY,BOTH_WRONG,SELL,CONDITIONAL,CONDITIONAL,,"多动作: SELL(COND)|ADD(COND); '冲涨停出局'=触发条件非已执行(缺口B); parser状态错EXECUTED, draft漏SELL"
