sample_id,analyst,date,raw_target,raw_text,direction
1,老樊,2026-08-13,三环集团,小幅度顺势加仓 买入 MLCC产业链，继风华/国瓷后出现突破买点结构,买入
2,老樊,2026-08-16,华勤技术,回调结束可在贴近中期均线组打底仓，超节点反复做波段 低吸 超节点服务器代表，H2放量；业绩兑现度排序锐捷(已兑现)→华勤(H2放量)→紫光(验收拖后)→盛科(等拐点),低吸
3,老樊,2026-08-16,利通电子,小幅顺势加仓（节奏偏慢，防中期均线组反复磨） 买入 算力租赁新云逻辑：中国版CoreWeave，GPU资产运营叙事，极值反转+Q2算租业务增长显著业绩符合预期，出现突破买点结构,买入
4,老樊,2026-08-13,新洁能,继续持股策略，中期均线组是第一道关卡，先稳扎稳打 持有 功率半导体反弹行情表现最好，量价逻辑双升：量（华虹&二三晶圆厂27年产能同比近翻倍）+价（功率MOS全面涨价）,持有
5,格兰投研,2026-08-27,兴森科技,想干的可以动 买入 又可以接回来了,买入
6,老樊,2026-08-14,凯莱英,适度减仓止盈 减仓 CXO，前排药明康德不能上修乖离值,减仓
7,震哥本尊,2026-08-18,宏景科技,清仓兑现 卖出 光模块概念，-2%附近清仓,卖出
8,老樊,2026-08-17,易点天下(301171),回踩买点跟踪 观察 单从结构看属于回踩买点结构,观察
9,天赢居,2026-08-17,博睿数据(688229),来回高抛低吸，等待择向 网格 低位，233日均线与377日均线之间,网格
10,老樊,2026-08-27,大盘,卡节奏慢慢做，不追高，低吸为主 观察 放量3000亿，机构配置盘回归，等杰克逊霍尔落地量能回归,观察
